protein1 protein2 combined_score
4932.Q0085 4932.YJL092W 240
4932.Q0085 4932.YKL080W 901
4932.Q0085 4932.YNR043W 336
4932.Q0085 4932.YER042W 165
4932.Q0085 4932.YBR189W 382
4932.Q0085 4932.YHR026W 986
4932.Q0085 4932.YNL192W 152
4932.Q0085 4932.YGR192C 230
4932.Q0085 4932.YDL078C 183
4932.Q0085 4932.YER148W 168
4932.Q0085 4932.YGL103W 216
4932.Q0085 4932.YKL024C 238
4932.Q0085 4932.YHR147C 247
4932.Q0085 4932.YMR193W 167
4932.Q0085 4932.YPR010C 365
4932.Q0085 4932.YOR133W 279
4932.Q0085 4932.YGR254W 176
4932.Q0085 4932.YNR036C 444
4932.Q0085 4932.YBR023C 152
4932.Q0085 4932.YDR529C 466
4932.Q0085 4932.YOL027C 721
4932.Q0085 4932.YBR085W 185
4932.Q0085 4932.YPL081W 382
4932.Q0085 4932.Q0250 998
4932.Q0085 4932.YOR341W 319
4932.Q0085 4932.YOR332W 902
4932.Q0085 4932.YOL093W 213
4932.Q0085 4932.YIL065C 285
4932.Q0085 4932.YBR019C 151
4932.Q0085 4932.YHR039C-A 950
4932.Q0085 4932.YNR037C 446
4932.Q0085 4932.YJR051W 244
4932.Q0085 4932.YNL137C 382
4932.Q0085 4932.YPR086W 256
4932.Q0085 4932.YCR046C 296
4932.Q0085 4932.YLR163C 480
4932.Q0085 4932.YKL016C 999
4932.Q0085 4932.YBL099W 999
4932.Q0085 4932.YGR240C 265
4932.Q0085 4932.YDR347W 175
4932.Q0085 4932.YBR283C 508
4932.Q0085 4932.Q0105 999
4932.Q0085 4932.YDR292C 193
4932.Q0085 4932.YDR188W 167
4932.Q0085 4932.YEL034W 370
4932.Q0085 4932.YGR258C 157
4932.Q0085 4932.YNL081C 218
4932.Q0085 4932.YBR251W 419
4932.Q0085 4932.YEL027W 992
4932.Q0085 4932.YCR012W 418
4932.Q0085 4932.YOR027W 154
4932.Q0085 4932.YDR232W 161
4932.Q0085 4932.Q0140 940
4932.Q0085 4932.YJR101W 175
4932.Q0085 4932.YJL166W 208
4932.Q0085 4932.YJL014W 167
4932.Q0085 4932.YDR050C 476
4932.Q0085 4932.YOR065W 602
4932.Q0085 4932.YLR048W 252
4932.Q0085 4932.YGR029W 162
4932.Q0085 4932.YNL188W 313
4932.Q0085 4932.Q0160 177
4932.Q0085 4932.YOL097C 428
4932.Q0085 4932.YJR048W 492
4932.Q0085 4932.YPL063W 635
4932.Q0085 4932.YKL085W 214
4932.Q0085 4932.Q0115 944
4932.Q0085 4932.YPL262W 313
4932.Q0085 4932.YDL003W 150
4932.Q0085 4932.YGR155W 159
4932.Q0085 4932.YOL031C 400
4932.Q0085 4932.YPL266W 314
4932.Q0085 4932.YDL120W 181
4932.Q0085 4932.YLR193C 218
4932.Q0085 4932.YOL043C 154
4932.Q0085 4932.YML009C 518
4932.Q0085 4932.YHR024C 253
4932.Q0085 4932.YNL052W 266
4932.Q0085 4932.YEL021W 405
4932.Q0085 4932.YPR073C 191
4932.Q0085 4932.YGR264C 226
4932.Q0085 4932.YPL131W 592
4932.Q0085 4932.YGL191W 927
4932.Q0085 4932.YLR351C 151
4932.Q0085 4932.YGL135W 228
4932.Q0085 4932.YGR183C 354
4932.Q0085 4932.YOR116C 319
4932.Q0085 4932.YGL147C 184
4932.Q0085 4932.YCR053W 173
4932.Q0085 4932.YIL070C 271
4932.Q0085 4932.YLL039C 200
4932.Q0085 4932.YER038C 150
4932.Q0085 4932.YCR060W 189
4932.Q0085 4932.Q0130 999
4932.Q0085 4932.YHL004W 463
4932.Q0085 4932.YFL039C 175
4932.Q0085 4932.YKL006W 364
4932.Q0085 4932.YDR337W 352
4932.Q0085 4932.YDR237W 504
4932.Q0085 4932.YOR194C 518
4932.Q0085 4932.YFL036W 914
4932.Q0085 4932.YLR378C 508
4932.Q0085 4932.YOR151C 791
4932.Q0085 4932.YDR298C 999
4932.Q0085 4932.YPR035W 161
4932.Q0085 4932.YKL194C 165
4932.Q0085 4932.YJL063C 230
4932.Q0085 4932.YPL183W-A 245
4932.Q0085 4932.YPL271W 999
4932.Q0085 4932.YDR194C 559
4932.Q0085 4932.YIL021W 560
4932.Q0085 4932.YFL037W 181
4932.Q0085 4932.YDR405W 325
4932.Q0085 4932.YPR191W 586
4932.Q0085 4932.YPL091W 247
4932.Q0085 4932.YDR037W 351
4932.Q0085 4932.YER078C 152
4932.Q0085 4932.YDL217C 182
4932.Q0085 4932.YDR296W 345
4932.Q0085 4932.YJR123W 417
4932.Q0085 4932.YJR121W 999
4932.Q0085 4932.YLR367W 256
